1,NGS1_20170101G,sorted_NGS1_20170101G_S99_L999.bam
2,NGS1_20170101H,sorted_NGS1_20170101H_S99_L999.bam
3,NGS1_20170102B,sorted_NGS1_20170102B_S99_L999.bam
4,NGS1_20170102F,sorted_NGS1_20170102F_S99_L999.bam
5,NGS1_20170102G,sorted_NGS1_20170102G_S99_L999.bam
6,NGS1_20170103C,sorted_NGS1_20170103C_S99_L999.bam
7,NGS1_20170103D,sorted_NGS1_20170103D_S99_L999.bam
8,NGS1_20170103F,sorted_NGS1_20170103F_S99_L999.bam
9,NGS1_20170103G,sorted_NGS1_20170103G_S99_L999.bam
10,NGS1_20170103H,sorted_NGS1_20170103H_S99_L999.bam
11,NGS1_20170104C,sorted_NGS1_20170104C_S99_L999.bam
12,NGS1_20170104F,sorted_NGS1_20170104F_S99_L999.bam
13,NGS1_20170104G,sorted_NGS1_20170104G_S99_L999.bam
14,NGS1_20170105B,sorted_NGS1_20170105B_S99_L999.bam
15,NGS1_20170105C,sorted_NGS1_20170105C_S99_L999.bam
16,NGS1_20170105E,sorted_NGS1_20170105E_S99_L999.bam
17,NGS1_20170105G,sorted_NGS1_20170105G_S99_L999.bam
18,NGS1_20170106A,sorted_NGS1_20170106A_S99_L999.bam
19,NGS1_20170106B,sorted_NGS1_20170106B_S99_L999.bam
20,NGS1_20170107A,sorted_NGS1_20170107A_S99_L999.bam
21,NGS1_20170107B,sorted_NGS1_20170107B_S99_L999.bam
22,NGS1_20170107F,sorted_NGS1_20170107F_S99_L999.bam
23,NGS1_20170107G,sorted_NGS1_20170107G_S99_L999.bam
24,NGS1_20170108B,sorted_NGS1_20170108B_S99_L999.bam
25,NGS1_20170108D,sorted_NGS1_20170108D_S99_L999.bam
26,NGS1_20170108F,sorted_NGS1_20170108F_S99_L999.bam
27,NGS1_20170108H,sorted_NGS1_20170108H_S99_L999.bam
28,NGS1_20170109B,sorted_NGS1_20170109B_S99_L999.bam
29,NGS1_20170109F,sorted_NGS1_20170109F_S99_L999.bam
30,NGS1_20170109G,sorted_NGS1_20170109G_S99_L999.bam
31,NGS1_20170109H,sorted_NGS1_20170109H_S99_L999.bam
32,NGS1_20170110A,sorted_NGS1_20170110A_S99_L999.bam
33,NGS1_20170110C,sorted_NGS1_20170110C_S99_L999.bam
34,NGS1_20170110F,sorted_NGS1_20170110F_S99_L999.bam
35,NGS1_20170110H,sorted_NGS1_20170110H_S99_L999.bam
36,NGS1_20170111A,sorted_NGS1_20170111A_S99_L999.bam
